ens33: tx_bytes:574853 rx_bytes:9078505 tx_packets:6571 rx_packets: 11041
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
ens33: tx_bytes:574943 rx_bytes:9078655 tx_packets:6572 rx_packets: 11043
ens33: tx_bytes:574943 rx_bytes:9078655 tx_packets:6572 rx_packets: 11043
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
ens33: tx_bytes:575123 rx_bytes:9078955 tx_packets:6574 rx_packets: 11047
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
ens33: tx_bytes:576113 rx_bytes:9080125 tx_packets:6585 rx_packets: 11061
ens33: tx_bytes:576203 rx_bytes:9080275 tx_packets:6586 rx_packets: 11063
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
ens33: tx_bytes:576563 rx_bytes:9080875 tx_packets:6590 rx_packets: 11071
ens33: tx_bytes:576743 rx_bytes:9081175 tx_packets:6592 rx_packets: 11075
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
ens33: tx_bytes:576833 rx_bytes:9081325 tx_packets:6593 rx_packets: 11077
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
ens33: tx_bytes:577193 rx_bytes:9081925 tx_packets:6597 rx_packets: 11085
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
ens33: tx_bytes:577193 rx_bytes:9081925 tx_packets:6597 rx_packets: 11085
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
ens33: tx_bytes:577193 rx_bytes:9081925 tx_packets:6597 rx_packets: 11085
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
ens33: tx_bytes:577553 rx_bytes:9082135 tx_packets:6601 rx_packets: 11088
ens33: tx_bytes:577553 rx_bytes:9082135 tx_packets:6601 rx_packets: 11088
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
ens33: tx_bytes:577757 rx_bytes:9082375 tx_packets:6603 rx_packets: 11091
ens33: tx_bytes:578635 rx_bytes:9082885 tx_packets:6613 rx_packets: 11098
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
ens33: tx_bytes:578635 rx_bytes:9082885 tx_packets:6613 rx_packets: 11098
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
ens33: tx_bytes:578635 rx_bytes:9082885 tx_packets:6613 rx_packets: 11098
ens33: tx_bytes:578635 rx_bytes:9082885 tx_packets:6613 rx_packets: 11098
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
ens33: tx_bytes:579415 rx_bytes:9084145 tx_packets:6622 rx_packets: 11115
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
ens33: tx_bytes:581075 rx_bytes:9084805 tx_packets:6636 rx_packets: 11124
