      Time   Voltage  Inductor Capacitor  Resistor     Total
    0.0100    0.0000   63.6567   -3.1411    0.0000   60.5157
    0.0101   -3.1411   63.6253   -3.1411   -0.3141   60.1701
    0.0102   -6.2791   63.5625   -3.1380   -0.6279   59.7967
    0.0103   -9.4108   63.4684   -3.1318   -0.9411   59.3956
    0.0104  -12.5333   63.3431   -3.1225   -1.2533   58.9673
    0.0105  -15.6434   63.1867   -3.1101   -1.5643   58.5122
    0.0106  -18.7381   62.9993   -3.0947   -1.8738   58.0308
    0.0107  -21.8143   62.7811   -3.0762   -2.1814   57.5235
    0.0108  -24.8690   62.5324   -3.0547   -2.4869   56.9909
    0.0109  -27.8991   62.2535   -3.0301   -2.7899   56.4334
    0.0110  -30.9017   61.9444   -3.0026   -3.0902   55.8517
    0.0111  -33.8738   61.6057   -2.9721   -3.3874   55.2462
    0.0112  -36.8125   61.2376   -2.9387   -3.6812   54.6177
    0.0113  -39.7148   60.8404   -2.9023   -3.9715   53.9666
    0.0114  -42.5779   60.4147   -2.8631   -4.2578   53.2937
    0.0115  -45.3990   59.9607   -2.8211   -4.5399   52.5996
    0.0116  -48.1754   59.4789   -2.7763   -4.8175   51.8851
    0.0117  -50.9041   58.9699   -2.7288   -5.0904   51.1507
    0.0118  -53.5827   58.4340   -2.6785   -5.3583   50.3972
    0.0119  -56.2083   57.8720   -2.6257   -5.6208   49.6255
    0.0120  -58.7785   57.2842   -2.5702   -5.8779   48.8361
    0.0121  -61.2907   56.6713   -2.5122   -6.1291   48.0300
    0.0122  -63.7424   56.0338   -2.4517   -6.3742   47.2079
    0.0123  -66.1312   55.3725   -2.3888   -6.6131   46.3706
    0.0124  -68.4547   54.6880   -2.3235   -6.8455   45.5190
    0.0125  -70.7107   53.9809   -2.2560   -7.0711   44.6538
    0.0126  -72.8969   53.2519   -2.1862   -7.2897   43.7760
    0.0127  -75.0111   52.5018   -2.1142   -7.5011   42.8864
    0.0128  -77.0513   51.7313   -2.0402   -7.7051   41.9859
    0.0129  -79.0155   50.9411   -1.9642   -7.9016   41.0754
