      Time   Voltage  Inductor Capacitor  Resistor     Total
    0.0428   77.0513   11.9255    2.0402    7.7051   21.6708
    0.0429   79.0155   12.7156    1.9642    7.9016   22.5813
    0.0430   80.9017   13.5246    1.8862    8.0902   23.5010
    0.0431   82.7081   14.3517    1.8064    8.2708   24.4289
    0.0432   84.4328   15.1960    1.7247    8.4433   25.3641
    0.0433   86.0742   16.0568    1.6414    8.6074   26.3056
    0.0434   87.6307   16.9331    1.5565    8.7631   27.2526
    0.0435   89.1007   17.8241    1.4700    8.9101   28.2041
    0.0436   90.4827   18.7289    1.3821    9.0483   29.1592
    0.0437   91.7755   19.6467    1.2928    9.1775   30.1170
    0.0438   92.9776   20.5765    1.2022    9.2978   31.0764
    0.0439   94.0881   21.5173    1.1104    9.4088   32.0366
    0.0440   95.1057   22.4684    1.0176    9.5106   32.9965
    0.0441   96.0294   23.4287    0.9237    9.6029   33.9553
    0.0442   96.8583   24.3973    0.8289    9.6858   34.9120
    0.0443   97.5917   25.3732    0.7334    9.7592   35.8657
    0.0444   98.2287   26.3555    0.6370    9.8229   36.8154
    0.0445   98.7688   27.3432    0.5401    9.8769   37.7602
    0.0446   99.2115   28.3353    0.4426    9.9211   38.6991
    0.0447   99.5562   29.3308    0.3447    9.9556   39.6312
    0.0448   99.8027   30.3289    0.2465    9.9803   40.5556
    0.0449   99.9507   31.3284    0.1480    9.9951   41.4714
    0.0450  100.0000   32.3284    0.0493   10.0000   42.3777
    0.0451   99.9507   33.3279   -0.0493    9.9951   43.2736
    0.0452   99.8027   34.3259   -0.1480    9.9803   44.1582
    0.0453   99.5562   35.3215   -0.2465    9.9556   45.0306
    0.0454   99.2115   36.3136   -0.3447    9.9211   45.8900
    0.0455   98.7688   37.3013   -0.4426    9.8769   46.7355
    0.0456   98.2287   38.2836   -0.5401    9.8229   47.5663
    0.0457   97.5917   39.2595   -0.6370    9.7592   48.3816
    0.0458   96.8583   40.2281   -0.7334    9.6858   49.1805
    0.0459   96.0294   41.1883   -0.8289    9.6029   49.9623
    0.0460   95.1057   42.1394   -0.9237    9.5106   50.7263
    0.0461   94.0881   43.0803   -1.0176    9.4088   51.4715
    0.0462   92.9776   44.0101   -1.1104    9.2978   52.1974
    0.0463   91.7755   44.9278   -1.2022    9.1775   52.9032
    0.0464   90.4827   45.8326   -1.2928    9.0483   53.5882
    0.0465   89.1007   46.7237   -1.3821    8.9101   54.2517
    0.0466   87.6307   47.6000   -1.4700    8.7631   54.8930
    0.0467   86.0742   48.4607   -1.5565    8.6074   55.5117
    0.0468   84.4328   49.3050   -1.6414    8.4433   56.1069
    0.0469   82.7081   50.1321   -1.7247    8.2708   56.6782
    0.0470   80.9017   50.9411   -1.8064    8.0902   57.2249
    0.0471   79.0155   51.7313   -1.8862    7.9016   57.7466
    0.0472   77.0513   52.5018   -1.9642    7.7051   58.2427
    0.0473   75.0111   53.2519   -2.0402    7.5011   58.7128
    0.0474   72.8969   53.9809   -2.1142    7.2897   59.1563
    0.0475   70.7107   54.6880   -2.1862    7.0711   59.5729
    0.0476   68.4547   55.3725   -2.2560    6.8455   59.9620
    0.0477   66.1312   56.0338   -2.3235    6.6131   60.3234
    0.0478   63.7424   56.6713   -2.3888    6.3742   60.6567
    0.0479   61.2907   57.2842   -2.4517    6.1291   60.9615
    0.0480   58.7785   57.8720   -2.5122    5.8779   61.2376
    0.0481   56.2083   58.4340   -2.5702    5.6208   61.4847
    0.0482   53.5827   58.9699   -2.6257    5.3583   61.7025
    0.0483   50.9041   59.4789   -2.6785    5.0904   61.8908
    0.0484   48.1754   59.9607   -2.7288    4.8175   62.0494
    0.0485   45.3990   60.4147   -2.7763    4.5399   62.1782
    0.0486   42.5779   60.8404   -2.8211    4.2578   62.2771
    0.0487   39.7148   61.2376   -2.8631    3.9715   62.3459
    0.0488   36.8125   61.6057   -2.9023    3.6812   62.3846
    0.0489   33.8738   61.9444   -2.9387    3.3874   62.3932
    0.0490   30.9017   62.2535   -2.9721    3.0902   62.3715
    0.0491   27.8991   62.5324   -3.0026    2.7899   62.3198
    0.0492   24.8690   62.7811   -3.0301    2.4869   62.2379
    0.0493   21.8143   62.9993   -3.0547    2.1814   62.1261
    0.0494   18.7381   63.1867   -3.0762    1.8738   61.9843
    0.0495   15.6434   63.3431   -3.0947    1.5643   61.8128
    0.0496   12.5333   63.4684   -3.1101    1.2533   61.6116
    0.0497    9.4108   63.5625   -3.1225    0.9411   61.3811
    0.0498    6.2791   63.6253   -3.1318    0.6279   61.1215
    0.0499    3.1411   63.6567   -3.1380    0.3141   60.8329
    0.0500   -0.0000   63.6567   -3.1411   -0.0000   60.5157
    0.0501   -3.1411   63.6253   -3.1411   -0.3141   60.1701
    0.0502   -6.2791   63.5625   -3.1380   -0.6279   59.7967
    0.0503   -9.4108   63.4684   -3.1318   -0.9411   59.3956
    0.0504  -12.5333   63.3431   -3.1225   -1.2533   58.9673
    0.0505  -15.6434   63.1867   -3.1101   -1.5643   58.5122
    0.0506  -18.7381   62.9993   -3.0947   -1.8738   58.0308
    0.0507  -21.8143   62.7811   -3.0762   -2.1814   57.5235
    0.0508  -24.8690   62.5324   -3.0547   -2.4869   56.9909
    0.0509  -27.8991   62.2535   -3.0301   -2.7899   56.4334
    0.0510  -30.9017   61.9444   -3.0026   -3.0902   55.8517
    0.0511  -33.8738   61.6057   -2.9721   -3.3874   55.2462
    0.0512  -36.8125   61.2376   -2.9387   -3.6812   54.6177
    0.0513  -39.7148   60.8404   -2.9023   -3.9715   53.9666
    0.0514  -42.5779   60.4147   -2.8631   -4.2578   53.2937
    0.0515  -45.3990   59.9607   -2.8211   -4.5399   52.5996
    0.0516  -48.1754   59.4789   -2.7763   -4.8175   51.8851
    0.0517  -50.9041   58.9699   -2.7288   -5.0904   51.1507
    0.0518  -53.5827   58.4340   -2.6785   -5.3583   50.3972
    0.0519  -56.2083   57.8720   -2.6257   -5.6208   49.6255
    0.0520  -58.7785   57.2842   -2.5702   -5.8779   48.8361
    0.0521  -61.2907   56.6713   -2.5122   -6.1291   48.0300
    0.0522  -63.7424   56.0338   -2.4517   -6.3742   47.2079
    0.0523  -66.1312   55.3725   -2.3888   -6.6131   46.3706
    0.0524  -68.4547   54.6880   -2.3235   -6.8455   45.5190
    0.0525  -70.7107   53.9809   -2.2560   -7.0711   44.6538
    0.0526  -72.8969   53.2519   -2.1862   -7.2897   43.7760
    0.0527  -75.0111   52.5018   -2.1142   -7.5011   42.8864
    0.0528  -77.0513   51.7313   -2.0402   -7.7051   41.9859
    0.0529  -79.0155   50.9411   -1.9642   -7.9016   41.0754
    0.0530  -80.9017   50.1321   -1.8862   -8.0902   40.1557
    0.0531  -82.7081   49.3050   -1.8064   -8.2708   39.2279
    0.0532  -84.4328   48.4607   -1.7247   -8.4433   38.2927
    0.0533  -86.0742   47.6000   -1.6414   -8.6074   37.3511
    0.0534  -87.6307   46.7237   -1.5565   -8.7631   36.4041
    0.0535  -89.1007   45.8326   -1.4700   -8.9101   35.4526
    0.0536  -90.4827   44.9278   -1.3821   -9.0483   34.4975
    0.0537  -91.7755   44.0101   -1.2928   -9.1775   33.5398
    0.0538  -92.9776   43.0803   -1.2022   -9.2978   32.5803
    0.0539  -94.0881   42.1394   -1.1104   -9.4088   31.6202
    0.0540  -95.1057   41.1883   -1.0176   -9.5106   30.6602
    0.0541  -96.0294   40.2281   -0.9237   -9.6029   29.7014
    0.0542  -96.8583   39.2595   -0.8289   -9.6858   28.7447
    0.0543  -97.5917   38.2836   -0.7334   -9.7592   27.7910
    0.0544  -98.2287   37.3013   -0.6370   -9.8229   26.8413
    0.0545  -98.7688   36.3136   -0.5401   -9.8769   25.8966
    0.0546  -99.2115   35.3215   -0.4426   -9.9211   24.9577
    0.0547  -99.5562   34.3259   -0.3447   -9.9556   24.0256
    0.0548  -99.8027   33.3279   -0.2465   -9.9803   23.1011
    0.0549  -99.9507   32.3284   -0.1480   -9.9951   22.1853
    0.0550 -100.0000   31.3284   -0.0493  -10.0000   21.2790
    0.0551  -99.9507   30.3289    0.0493   -9.9951   20.3831
    0.0552  -99.8027   29.3308    0.1480   -9.9803   19.4986
    0.0553  -99.5562   28.3353    0.2465   -9.9556   18.6261
    0.0554  -99.2115   27.3432    0.3447   -9.9211   17.7667
    0.0555  -98.7688   26.3555    0.4426   -9.8769   16.9212
    0.0556  -98.2287   25.3732    0.5401   -9.8229   16.0904
    0.0557  -97.5917   24.3973    0.6370   -9.7592   15.2751
    0.0558  -96.8583   23.4287    0.7334   -9.6858   14.4762
    0.0559  -96.0294   22.4684    0.8289   -9.6029   13.6944
    0.0560  -95.1057   21.5173    0.9237   -9.5106   12.9305
    0.0561  -94.0881   20.5765    1.0176   -9.4088   12.1852
    0.0562  -92.9776   19.6467    1.1104   -9.2978   11.4593
    0.0563  -91.7755   18.7289    1.2022   -9.1775   10.7536
    0.0564  -90.4827   17.8241    1.2928   -9.0483   10.0686
    0.0565  -89.1007   16.9331    1.3821   -8.9101    9.4051
    0.0566  -87.6307   16.0568    1.4700   -8.7631    8.7637
    0.0567  -86.0742   15.1960    1.5565   -8.6074    8.1451
    0.0568  -84.4328   14.3517    1.6414   -8.4433    7.5498
    0.0569  -82.7081   13.5246    1.7247   -8.2708    6.9786
    0.0570  -80.9017   12.7156    1.8064   -8.0902    6.4318
    0.0571  -79.0155   11.9255    1.8862   -7.9016    5.9101
    0.0572  -77.0513   11.1549    1.9642   -7.7051    5.4140
    0.0573  -75.0111   10.4048    2.0402   -7.5011    4.9439
    0.0574  -72.8969    9.6759    2.1142   -7.2897    4.5004
    0.0575  -70.7107    8.9688    2.1862   -7.0711    4.0839
    0.0576  -68.4547    8.2842    2.2560   -6.8455    3.6947
    0.0577  -66.1312    7.6229    2.3235   -6.6131    3.3333
    0.0578  -63.7424    6.9855    2.3888   -6.3742    3.0000
    0.0579  -61.2907    6.3726    2.4517   -6.1291    2.6952
    0.0580  -58.7785    5.7848    2.5122   -5.8779    2.4191
    0.0581  -56.2083    5.2227    2.5702   -5.6208    2.1721
    0.0582  -53.5827    4.6869    2.6257   -5.3583    1.9543
    0.0583  -50.9041    4.1778    2.6785   -5.0904    1.7660
    0.0584  -48.1754    3.6961    2.7288   -4.8175    1.6073
    0.0585  -45.3990    3.2421    2.7763   -4.5399    1.4785
    0.0586  -42.5779    2.8163    2.8211   -4.2578    1.3796
    0.0587  -39.7148    2.4192    2.8631   -3.9715    1.3108
    0.0588  -36.8125    2.0510    2.9023   -3.6812    1.2721
    0.0589  -33.8738    1.7123    2.9387   -3.3874    1.2636
    0.0590  -30.9017    1.4033    2.9721   -3.0902    1.2852
    0.0591  -27.8991    1.1243    3.0026   -2.7899    1.3370
    0.0592  -24.8690    0.8756    3.0301   -2.4869    1.4188
    0.0593  -21.8143    0.6575    3.0547   -2.1814    1.5307
    0.0594  -18.7381    0.4701    3.0762   -1.8738    1.6725
    0.0595  -15.6434    0.3136    3.0947   -1.5643    1.8440
    0.0596  -12.5333    0.1883    3.1101   -1.2533    2.0451
    0.0597   -9.4108    0.0942    3.1225   -0.9411    2.2756
    0.0598   -6.2791    0.0314    3.1318   -0.6279    2.5353
    0.0599   -3.1411    0.0000    3.1380   -0.3141    2.8239
    0.0600    0.0000    0.0000    3.1411    0.0000    3.1411
    0.0601    3.1411    0.0314    3.1411    0.3141    3.4866
    0.0602    6.2791    0.0942    3.1380    0.6279    3.8601
    0.0603    9.4108    0.1883    3.1318    0.9411    4.2612
    0.0604   12.5333    0.3136    3.1225    1.2533    4.6895
    0.0605   15.6434    0.4701    3.1101    1.5643    5.1445
    0.0606   18.7381    0.6575    3.0947    1.8738    5.6260
    0.0607   21.8143    0.8756    3.0762    2.1814    6.1332
    0.0608   24.8690    1.1243    3.0547    2.4869    6.6659
    0.0609   27.8991    1.4033    3.0301    2.7899    7.2233
    0.0610   30.9017    1.7123    3.0026    3.0902    7.8051
    0.0611   33.8738    2.0510    2.9721    3.3874    8.4105
    0.0612   36.8125    2.4192    2.9387    3.6812    9.0391
    0.0613   39.7148    2.8163    2.9023    3.9715    9.6901
    0.0614   42.5779    3.2421    2.8631    4.2578   10.3630
    0.0615   45.3990    3.6961    2.8211    4.5399   11.0571
    0.0616   48.1754    4.1778    2.7763    4.8175   11.7717
    0.0617   50.9041    4.6869    2.7288    5.0904   12.5061
    0.0618   53.5827    5.2227    2.6785    5.3583   13.2595
    0.0619   56.2083    5.7848    2.6257    5.6208   14.0313
    0.0620   58.7785    6.3726    2.5702    5.8779   14.8206
    0.0621   61.2907    6.9855    2.5122    6.1291   15.6267
    0.0622   63.7424    7.6229    2.4517    6.3742   16.4488
    0.0623   66.1312    8.2842    2.3888    6.6131   17.2861
    0.0624   68.4547    8.9688    2.3235    6.8455   18.1378
    0.0625   70.7107    9.6759    2.2560    7.0711   19.0029
    0.0626   72.8969   10.4048    2.1862    7.2897   19.8807
    0.0627   75.0111   11.1549    2.1142    7.5011   20.7703
    0.0628   77.0513   11.9255    2.0402    7.7051   21.6708
    0.0629   79.0155   12.7156    1.9642    7.9016   22.5813
    0.0630   80.9017   13.5246    1.8862    8.0902   23.5010
    0.0631   82.7081   14.3517    1.8064    8.2708   24.4289
    0.0632   84.4328   15.1960    1.7247    8.4433   25.3641
    0.0633   86.0742   16.0568    1.6414    8.6074   26.3056
    0.0634   87.6307   16.9331    1.5565    8.7631   27.2526
    0.0635   89.1007   17.8241    1.4700    8.9101   28.2041
    0.0636   90.4827   18.7289    1.3821    9.0483   29.1592
    0.0637   91.7755   19.6467    1.2928    9.1775   30.1170
    0.0638   92.9776   20.5765    1.2022    9.2978   31.0764
    0.0639   94.0881   21.5173    1.1104    9.4088   32.0366
    0.0640   95.1057   22.4684    1.0176    9.5106   32.9965
    0.0641   96.0294   23.4287    0.9237    9.6029   33.9553
    0.0642   96.8583   24.3973    0.8289    9.6858   34.9120
    0.0643   97.5917   25.3732    0.7334    9.7592   35.8657
    0.0644   98.2287   26.3555    0.6370    9.8229   36.8154
    0.0645   98.7688   27.3432    0.5401    9.8769   37.7602
    0.0646   99.2115   28.3353    0.4426    9.9211   38.6991
    0.0647   99.5562   29.3308    0.3447    9.9556   39.6312
    0.0648   99.8027   30.3289    0.2465    9.9803   40.5556
    0.0649   99.9507   31.3284    0.1480    9.9951   41.4714
    0.0650  100.0000   32.3284    0.0493   10.0000   42.3777
    0.0651   99.9507   33.3279   -0.0493    9.9951   43.2736
    0.0652   99.8027   34.3259   -0.1480    9.9803   44.1582
    0.0653   99.5562   35.3215   -0.2465    9.9556   45.0306
    0.0654   99.2115   36.3136   -0.3447    9.9211   45.8900
    0.0655   98.7688   37.3013   -0.4426    9.8769   46.7355
    0.0656   98.2287   38.2836   -0.5401    9.8229   47.5663
    0.0657   97.5917   39.2595   -0.6370    9.7592   48.3816
    0.0658   96.8583   40.2281   -0.7334    9.6858   49.1805
    0.0659   96.0294   41.1883   -0.8289    9.6029   49.9623
    0.0660   95.1057   42.1394   -0.9237    9.5106   50.7263
    0.0661   94.0881   43.0803   -1.0176    9.4088   51.4715
    0.0662   92.9776   44.0101   -1.1104    9.2978   52.1974
    0.0663   91.7755   44.9278   -1.2022    9.1775   52.9032
    0.0664   90.4827   45.8326   -1.2928    9.0483   53.5882
    0.0665   89.1007   46.7237   -1.3821    8.9101   54.2517
    0.0666   87.6307   47.6000   -1.4700    8.7631   54.8930
    0.0667   86.0742   48.4607   -1.5565    8.6074   55.5117
    0.0668   84.4328   49.3050   -1.6414    8.4433   56.1069
    0.0669   82.7081   50.1321   -1.7247    8.2708   56.6782
    0.0670   80.9017   50.9411   -1.8064    8.0902   57.2249
    0.0671   79.0155   51.7313   -1.8862    7.9016   57.7466
    0.0672   77.0513   52.5018   -1.9642    7.7051   58.2427
    0.0673   75.0111   53.2519   -2.0402    7.5011   58.7128
    0.0674   72.8969   53.9809   -2.1142    7.2897   59.1563
    0.0675   70.7107   54.6880   -2.1862    7.0711   59.5729
    0.0676   68.4547   55.3725   -2.2560    6.8455   59.9620
    0.0677   66.1312   56.0338   -2.3235    6.6131   60.3234
    0.0678   63.7424   56.6713   -2.3888    6.3742   60.6567
    0.0679   61.2907   57.2842   -2.4517    6.1291   60.9615
    0.0680   58.7785   57.8720   -2.5122    5.8779   61.2376
    0.0681   56.2083   58.4340   -2.5702    5.6208   61.4847
    0.0682   53.5827   58.9699   -2.6257    5.3583   61.7025
    0.0683   50.9041   59.4789   -2.6785    5.0904   61.8908
    0.0684   48.1754   59.9607   -2.7288    4.8175   62.0494
    0.0685   45.3990   60.4147   -2.7763    4.5399   62.1782
    0.0686   42.5779   60.8404   -2.8211    4.2578   62.2771
    0.0687   39.7148   61.2376   -2.8631    3.9715   62.3459
    0.0688   36.8125   61.6057   -2.9023    3.6812   62.3846
    0.0689   33.8738   61.9444   -2.9387    3.3874   62.3932
    0.0690   30.9017   62.2535   -2.9721    3.0902   62.3715
    0.0691   27.8991   62.5324   -3.0026    2.7899   62.3198
    0.0692   24.8690   62.7811   -3.0301    2.4869   62.2379
    0.0693   21.8143   62.9993   -3.0547    2.1814   62.1261
    0.0694   18.7381   63.1867   -3.0762    1.8738   61.9843
    0.0695   15.6434   63.3431   -3.0947    1.5643   61.8128
    0.0696   12.5333   63.4684   -3.1101    1.2533   61.6116
    0.0697    9.4108   63.5625   -3.1225    0.9411   61.3811
    0.0698    6.2791   63.6253   -3.1318    0.6279   61.1215
    0.0699    3.1411   63.6567   -3.1380    0.3141   60.8329
    0.0700   -0.0000   63.6567   -3.1411   -0.0000   60.5157
    0.0701   -3.1411   63.6253   -3.1411   -0.3141   60.1701
    0.0702   -6.2791   63.5625   -3.1380   -0.6279   59.7967
    0.0703   -9.4108   63.4684   -3.1318   -0.9411   59.3956
    0.0704  -12.5333   63.3431   -3.1225   -1.2533   58.9673
    0.0705  -15.6434   63.1867   -3.1101   -1.5643   58.5122
    0.0706  -18.7381   62.9993   -3.0947   -1.8738   58.0308
    0.0707  -21.8143   62.7811   -3.0762   -2.1814   57.5235
    0.0708  -24.8690   62.5324   -3.0547   -2.4869   56.9909
    0.0709  -27.8991   62.2535   -3.0301   -2.7899   56.4334
    0.0710  -30.9017   61.9444   -3.0026   -3.0902   55.8517
    0.0711  -33.8738   61.6057   -2.9721   -3.3874   55.2462
    0.0712  -36.8125   61.2376   -2.9387   -3.6812   54.6177
    0.0713  -39.7148   60.8404   -2.9023   -3.9715   53.9666
    0.0714  -42.5779   60.4147   -2.8631   -4.2578   53.2937
    0.0715  -45.3990   59.9607   -2.8211   -4.5399   52.5996
    0.0716  -48.1754   59.4789   -2.7763   -4.8175   51.8851
    0.0717  -50.9041   58.9699   -2.7288   -5.0904   51.1507
    0.0718  -53.5827   58.4340   -2.6785   -5.3583   50.3972
    0.0719  -56.2083   57.8720   -2.6257   -5.6208   49.6255
    0.0720  -58.7785   57.2842   -2.5702   -5.8779   48.8361
    0.0721  -61.2907   56.6713   -2.5122   -6.1291   48.0300
    0.0722  -63.7424   56.0338   -2.4517   -6.3742   47.2079
    0.0723  -66.1312   55.3725   -2.3888   -6.6131   46.3706
    0.0724  -68.4547   54.6880   -2.3235   -6.8455   45.5190
    0.0725  -70.7107   53.9809   -2.2560   -7.0711   44.6538
    0.0726  -72.8969   53.2519   -2.1862   -7.2897   43.7760
    0.0727  -75.0111   52.5018   -2.1142   -7.5011   42.8864
    0.0728  -77.0513   51.7313   -2.0402   -7.7051   41.9859
    0.0729  -79.0155   50.9411   -1.9642   -7.9016   41.0754
    0.0730  -80.9017   50.1321   -1.8862   -8.0902   40.1557
    0.0731  -82.7081   49.3050   -1.8064   -8.2708   39.2279
    0.0732  -84.4328   48.4607   -1.7247   -8.4433   38.2927
    0.0733  -86.0742   47.6000   -1.6414   -8.6074   37.3511
    0.0734  -87.6307   46.7237   -1.5565   -8.7631   36.4041
    0.0735  -89.1007   45.8326   -1.4700   -8.9101   35.4526
    0.0736  -90.4827   44.9278   -1.3821   -9.0483   34.4975
    0.0737  -91.7755   44.0101   -1.2928   -9.1775   33.5398
    0.0738  -92.9776   43.0803   -1.2022   -9.2978   32.5803
    0.0739  -94.0881   42.1394   -1.1104   -9.4088   31.6202
    0.0740  -95.1057   41.1883   -1.0176   -9.5106   30.6602
    0.0741  -96.0294   40.2281   -0.9237   -9.6029   29.7014
    0.0742  -96.8583   39.2595   -0.8289   -9.6858   28.7447
    0.0743  -97.5917   38.2836   -0.7334   -9.7592   27.7910
    0.0744  -98.2287   37.3013   -0.6370   -9.8229   26.8413
    0.0745  -98.7688   36.3136   -0.5401   -9.8769   25.8966
    0.0746  -99.2115   35.3215   -0.4426   -9.9211   24.9577
    0.0747  -99.5562   34.3259   -0.3447   -9.9556   24.0256
    0.0748  -99.8027   33.3279   -0.2465   -9.9803   23.1011
    0.0749  -99.9507   32.3284   -0.1480   -9.9951   22.1853
    0.0750 -100.0000   31.3284   -0.0493  -10.0000   21.2790
    0.0751  -99.9507   30.3289    0.0493   -9.9951   20.3831
    0.0752  -99.8027   29.3308    0.1480   -9.9803   19.4986
    0.0753  -99.5562   28.3353    0.2465   -9.9556   18.6261
    0.0754  -99.2115   27.3432    0.3447   -9.9211   17.7667
    0.0755  -98.7688   26.3555    0.4426   -9.8769   16.9212
    0.0756  -98.2287   25.3732    0.5401   -9.8229   16.0904
    0.0757  -97.5917   24.3973    0.6370   -9.7592   15.2751
    0.0758  -96.8583   23.4287    0.7334   -9.6858   14.4762
    0.0759  -96.0294   22.4684    0.8289   -9.6029   13.6944
    0.0760  -95.1057   21.5173    0.9237   -9.5106   12.9305
    0.0761  -94.0881   20.5765    1.0176   -9.4088   12.1852
    0.0762  -92.9776   19.6467    1.1104   -9.2978   11.4593
    0.0763  -91.7755   18.7289    1.2022   -9.1775   10.7536
    0.0764  -90.4827   17.8241    1.2928   -9.0483   10.0686
    0.0765  -89.1007   16.9331    1.3821   -8.9101    9.4051
    0.0766  -87.6307   16.0568    1.4700   -8.7631    8.7637
    0.0767  -86.0742   15.1960    1.5565   -8.6074    8.1451
    0.0768  -84.4328   14.3517    1.6414   -8.4433    7.5498
    0.0769  -82.7081   13.5246    1.7247   -8.2708    6.9786
    0.0770  -80.9017   12.7156    1.8064   -8.0902    6.4318
    0.0771  -79.0155   11.9255    1.8862   -7.9016    5.9101
    0.0772  -77.0513   11.1549    1.9642   -7.7051    5.4140
    0.0773  -75.0111   10.4048    2.0402   -7.5011    4.9439
    0.0774  -72.8969    9.6759    2.1142   -7.2897    4.5004
    0.0775  -70.7107    8.9688    2.1862   -7.0711    4.0839
    0.0776  -68.4547    8.2842    2.2560   -6.8455    3.6947
    0.0777  -66.1312    7.6229    2.3235   -6.6131    3.3333
    0.0778  -63.7424    6.9855    2.3888   -6.3742    3.0000
    0.0779  -61.2907    6.3726    2.4517   -6.1291    2.6952
    0.0780  -58.7785    5.7848    2.5122   -5.8779    2.4191
    0.0781  -56.2083    5.2227    2.5702   -5.6208    2.1721
    0.0782  -53.5827    4.6869    2.6257   -5.3583    1.9543
    0.0783  -50.9041    4.1778    2.6785   -5.0904    1.7660
    0.0784  -48.1754    3.6961    2.7288   -4.8175    1.6073
    0.0785  -45.3990    3.2421    2.7763   -4.5399    1.4785
    0.0786  -42.5779    2.8163    2.8211   -4.2578    1.3796
    0.0787  -39.7148    2.4192    2.8631   -3.9715    1.3108
    0.0788  -36.8125    2.0510    2.9023   -3.6812    1.2721
    0.0789  -33.8738    1.7123    2.9387   -3.3874    1.2636
    0.0790  -30.9017    1.4033    2.9721   -3.0902    1.2852
    0.0791  -27.8991    1.1243    3.0026   -2.7899    1.3370
    0.0792  -24.8690    0.8756    3.0301   -2.4869    1.4188
    0.0793  -21.8143    0.6575    3.0547   -2.1814    1.5307
    0.0794  -18.7381    0.4701    3.0762   -1.8738    1.6725
    0.0795  -15.6434    0.3136    3.0947   -1.5643    1.8440
    0.0796  -12.5333    0.1883    3.1101   -1.2533    2.0451
    0.0797   -9.4108    0.0942    3.1225   -0.9411    2.2756
    0.0798   -6.2791    0.0314    3.1318   -0.6279    2.5353
    0.0799   -3.1411    0.0000    3.1380   -0.3141    2.8239
    0.0800    0.0000    0.0000    3.1411    0.0000    3.1411
    0.0801    3.1411    0.0314    3.1411    0.3141    3.4866
    0.0802    6.2791    0.0942    3.1380    0.6279    3.8601
    0.0803    9.4108    0.1883    3.1318    0.9411    4.2612
    0.0804   12.5333    0.3136    3.1225    1.2533    4.6895
    0.0805   15.6434    0.4701    3.1101    1.5643    5.1445
    0.0806   18.7381    0.6575    3.0947    1.8738    5.6260
    0.0807   21.8143    0.8756    3.0762    2.1814    6.1332
    0.0808   24.8690    1.1243    3.0547    2.4869    6.6659
    0.0809   27.8991    1.4033    3.0301    2.7899    7.2233
    0.0810   30.9017    1.7123    3.0026    3.0902    7.8051
    0.0811   33.8738    2.0510    2.9721    3.3874    8.4105
    0.0812   36.8125    2.4192    2.9387    3.6812    9.0391
    0.0813   39.7148    2.8163    2.9023    3.9715    9.6901
    0.0814   42.5779    3.2421    2.8631    4.2578   10.3630
    0.0815   45.3990    3.6961    2.8211    4.5399   11.0571
    0.0816   48.1754    4.1778    2.7763    4.8175   11.7717
    0.0817   50.9041    4.6869    2.7288    5.0904   12.5061
    0.0818   53.5827    5.2227    2.6785    5.3583   13.2595
    0.0819   56.2083    5.7848    2.6257    5.6208   14.0313
    0.0820   58.7785    6.3726    2.5702    5.8779   14.8206
    0.0821   61.2907    6.9855    2.5122    6.1291   15.6267
    0.0822   63.7424    7.6229    2.4517    6.3742   16.4488
    0.0823   66.1312    8.2842    2.3888    6.6131   17.2861
    0.0824   68.4547    8.9688    2.3235    6.8455   18.1378
    0.0825   70.7107    9.6759    2.2560    7.0711   19.0029
    0.0826   72.8969   10.4048    2.1862    7.2897   19.8807
    0.0827   75.0111   11.1549    2.1142    7.5011   20.7703
    0.0828   77.0513   11.9255    2.0402    7.7051   21.6708
    0.0829   79.0155   12.7156    1.9642    7.9016   22.5813
    0.0830   80.9017   13.5246    1.8862    8.0902   23.5010
    0.0831   82.7081   14.3517    1.8064    8.2708   24.4289
    0.0832   84.4328   15.1960    1.7247    8.4433   25.3641
    0.0833   86.0742   16.0568    1.6414    8.6074   26.3056
    0.0834   87.6307   16.9331    1.5565    8.7631   27.2526
    0.0835   89.1007   17.8241    1.4700    8.9101   28.2041
    0.0836   90.4827   18.7289    1.3821    9.0483   29.1592
    0.0837   91.7755   19.6467    1.2928    9.1775   30.1170
    0.0838   92.9776   20.5765    1.2022    9.2978   31.0764
    0.0839   94.0881   21.5173    1.1104    9.4088   32.0366
    0.0840   95.1057   22.4684    1.0176    9.5106   32.9965
    0.0841   96.0294   23.4287    0.9237    9.6029   33.9553
    0.0842   96.8583   24.3973    0.8289    9.6858   34.9120
    0.0843   97.5917   25.3732    0.7334    9.7592   35.8657
    0.0844   98.2287   26.3555    0.6370    9.8229   36.8154
    0.0845   98.7688   27.3432    0.5401    9.8769   37.7602
    0.0846   99.2115   28.3353    0.4426    9.9211   38.6991
    0.0847   99.5562   29.3308    0.3447    9.9556   39.6312
    0.0848   99.8027   30.3289    0.2465    9.9803   40.5556
    0.0849   99.9507   31.3284    0.1480    9.9951   41.4714
    0.0850  100.0000   32.3284    0.0493   10.0000   42.3777
    0.0851   99.9507   33.3279   -0.0493    9.9951   43.2736
    0.0852   99.8027   34.3259   -0.1480    9.9803   44.1582
    0.0853   99.5562   35.3215   -0.2465    9.9556   45.0306
    0.0854   99.2115   36.3136   -0.3447    9.9211   45.8900
    0.0855   98.7688   37.3013   -0.4426    9.8769   46.7355
    0.0856   98.2287   38.2836   -0.5401    9.8229   47.5663
    0.0857   97.5917   39.2595   -0.6370    9.7592   48.3816
    0.0858   96.8583   40.2281   -0.7334    9.6858   49.1805
